City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Auki,SB,84.51,moderate rain,-8.7676,160.7034,Auki Motel
416,Ahuimanu,US,77.0,broken clouds,21.4447,-157.8378,Paradise Bay Resort
421,Hambantota,LK,82.4,few clouds,6.1241,81.1185,Bungalow 63
422,Sabana De Torres,CO,77.4,broken clouds,7.3915,-73.4957,Hotel el Milagro
425,Catuday,PH,76.41,overcast clouds,16.2923,119.8062,GResort
426,Mamallapuram,IN,80.6,mist,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
427,Acapulco,MX,76.17,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
429,Luwuk,ID,85.26,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
436,Labuan,MY,86.0,few clouds,5.2767,115.2417,Tiara Labuan Hotel
447,Turan,VN,78.8,scattered clouds,16.0678,108.2208,Grand Mercure Danang
450,Banda Aceh,ID,83.1,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
457,Moerai,PF,80.11,broken clouds,-22.4333,-151.3333,Le Manotel
462,Surin,TH,87.01,clear sky,14.8818,103.4936,One Fu Hotel
468,Dhidhdhoo,MV,81.81,clear sky,6.8833,73.1,Dhidhoo beach
473,Ankazoabo,MG,75.56,few clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
474,Rio Claro,BR,75.99,overcast clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
475,Ternate,ID,82.62,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
485,Calatagan,PH,80.89,broken clouds,13.8833,120.65,Coral Bay Rest House
487,Pitimbu,BR,77.0,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
490,Port-Gentil,GA,77.65,overcast clouds,-0.7193,8.7815,Fengshui Residence
491,Saint-Leu,RE,86.0,clear sky,-21.15,55.2833,La Caz Oceane
492,Tual,ID,83.12,broken clouds,-5.6667,132.75,Grand Vilia Hotel
493,Alyangula,AU,89.6,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
496,Honiara,SB,82.31,moderate rain,-9.4333,159.95,Heritage Park Hotel
501,Morondava,MG,79.34,clear sky,-20.2833,44.2833,La Case Bambou
506,Kirakira,SB,81.52,moderate rain,-10.4544,161.9205,SanBiz Lodge
507,Trairi,BR,78.17,overcast clouds,-3.2778,-39.2689,janelas do mar
515,Oistins,BB,78.8,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
516,Carutapera,BR,77.63,overcast clouds,-1.195,-46.02,Lidera
521,Axim,GH,78.37,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
524,Benguela,AO,75.11,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
